raw_place,geoname_name,latitude,longitude,country
Venice,Venice,45.43713,12.33265,Italy
Nuremberg,Nuremberg,49.45421,11.07752,Germany
[Landshut],Landshut,48.52961,12.16179,Germany
Zurich,Zurich,47.36667,8.55,Switzerland
Frankfurt an der Oder,Frankfurt,52.34714,14.55062,Germany
Beuthen,Bytom,50.34802,18.93282,Poland
[Cracow],Krakow,50.06143,19.93658,Poland
[Rome],Rome,41.89193,12.51133,Italy
Copenhagen,Copenhagen,55.67594,12.56553,Denmark
Hamburg,Hamburg,53.55073,9.99302,Germany
Uppsala,Uppsala,59.85882,17.63889,Sweden
Leiden,Leiden,52.15833,4.49306,The Netherlands
Vienna,Vienna,48.20849,16.37208,Austria
Basel,Basel,47.55839,7.57327,Switzerland
London,London,51.50853,-0.12574,United Kingdom
Bologna,Bologna,44.49381,11.33875,Italy
Cologne,Cologne,50.93333,6.95,Germany
Augsburg,Augsburg,48.37154,10.89851,Germany
Lyon,Lyon,45.74846,4.84671,France
Ferrara,Ferrara,44.83804,11.62057,Italy
[Paris],Paris,48.85341,2.3488,France
Leuven,Leuven,50.87959,4.70093,Belgium
Florence,Florence,43.77925,11.24626,Italy
Alcalá de Henares,Alcalá de Henares,40.48205,-3.35996,Spain
Rome,Rome,41.89193,12.51133,Italy
Strasbourg,Strasbourg,48.58392,7.74553,France
Verona,Verona,45.43854,10.9938,Italy
Haguenau,Haguenau,48.81557,7.79051,France
Paris,Paris,48.85341,2.3488,France
[Ingolstadt],Ingolstadt,48.76508,11.42372,Germany
Cracow,Krakow,50.06143,19.93658,Poland
[Wittenberg],Wittenberg,51.8661,12.64973,Germany
[Venice],Venice,45.43713,12.33265,Italy
Gent,Ghent,51.05,3.71667,Belgium
[Strasbourg],Strasbourg,48.58392,7.74553,France
Tübingen,Tübingen,48.52266,9.05222,Germany
Gdańsk,Gdansk,54.35227,18.64912,Poland
Antwerp,Antwerp,51.22047,4.40026,Belgium
Wittenberg,Wittenberg,51.8661,12.64973,Germany
Leipzig,Leipzig,51.33962,12.37129,Germany
Padua,Padua,45.40797,11.88586,Italy
Naples,Naples,40.85216,14.26811,Italy
[Zurich],Zurich,47.36667,8.55,Switzerland
[Geneva],Geneva,46.20222,6.14569,Switzerland
Turin,Turin,45.07049,7.68682,Italy
Perugia,Perugia,43.1122,12.38878,Italy
Frankfurt am Main,Frankfurt am Main,50.11552,8.68417,Germany
Heidelberg,Heidelberg,49.40768,8.69079,Germany
Herborn,Herborn,49.74167,6.42778,Luxembourg
Vico Equense,Vico Equense,40.65977,14.43386,Italy
Pesaro,Pesaro,43.90921,12.9164,Italy
Uraniborg,Uranienborg,55.9,12.7,Sweden
Prague,Prague,50.08804,14.42076,Czechia
Salamanca,Salamanca,40.96882,-5.66388,Spain
Tours,Tours,47.39484,0.70398,France
Duisburg,Duisburg,51.43247,6.76516,Germany
Neustadt an der Weinstraße,Neustadt an der Weinstraße,49.35009,8.13886,Germany
Stuttgart,Stuttgart,48.78232,9.17702,Germany
Messina,Messina,38.19394,15.55256,Italy
Bergamo,Bergamo,45.69601,9.66721,Italy
Liegnitz,Legnica,51.21006,16.1619,Poland
La Rochelle,La Rochelle,46.16308,-1.15222,France
Palermo,Palermo,38.1166,13.3636,Italy
Treviso,Treviso,45.66673,12.2416,Italy
Hanau,Hanau,50.13423,8.91418,Germany
[Leiden],Leiden,52.15833,4.49306,The Netherlands
Edinburgh,Edinburgh,55.95206,-3.19648,United Kingdom
Arnhem,Arnhem,51.98,5.91111,The Netherlands
Ingolstadt,Ingolstadt,48.76508,11.42372,Germany
Altdorf,Altdorf,46.88042,8.64441,Switzerland
Linz,Linz,48.30639,14.28611,Austria
Oppenheim,Oppenheim,49.8547,8.35974,Germany
Vicenza,Vicenza,45.54672,11.5475,Italy
Gouda,Gouda,52.01667,4.70833,The Netherlands
Innsbruck,Innsbruck,47.26266,11.39454,Austria
[Hamburg],Hamburg,53.55073,9.99302,Germany
Marburg,Marburg,50.80904,8.77069,Germany
Amsterdam,Amsterdam,52.37403,4.88969,The Netherlands
Bracciano,Bracciano,42.10271,12.16565,Italy
Milan,Milan,45.46427,9.18951,Italy
Ulm,Ulm,48.39841,9.99155,Germany
Aberdeen,Aberdeen,22.24802,114.15289,Hong Kong
Middelburg,Middelburg,51.5,3.61389,The Netherlands
Königsberg,Kaliningrad,54.70649,20.51095,Russia
Bratislava,Bratislava,48.14816,17.10674,Slovakia
Udine,Udine,46.0693,13.23715,Italy
Groningen,Groningen,53.21917,6.56667,The Netherlands
Brussels,Brussels,50.85045,4.34878,Belgium
Oels,Oleśnica,51.21338,17.38986,Poland
Munich,Munich,48.13743,11.57549,Germany
Helmstedt,Helmstedt,52.2279,11.00985,Germany
Lübeck,Lübeck,53.86893,10.68729,Germany
The Hague,The Hague,52.07667,4.29861,The Netherlands
Bern,Bern,46.94809,7.44744,Switzerland
Grenoble,Grenoble,45.17869,5.71479,France
Oxford,Oxford,39.507,-84.74523,United States
Utrecht,Utrecht,52.09083,5.12222,The Netherlands
Würzburg,Würzburg,49.79391,9.95121,Germany
Toulouse,Toulouse,43.60426,1.44367,France
Olomouc,Olomouc,49.59552,17.25175,Czechia
Danzig,Gdansk,54.35227,18.64912,Poland
Jena,Jena,50.92878,11.5899,Germany
Wrocław,Wroclaw,51.1,17.03333,Poland
Kiel,Kiel,54.32133,10.13489,Germany
Rotterdam,Rotterdam,51.9225,4.47917,The Netherlands
Güstrow,Güstrow,53.7972,12.17337,Germany
Reggio di Calabria,Reggio Calabria,38.11047,15.66129,Italy
Aachen,Aachen,50.77664,6.08342,Germany
Kempten,Kempten (Allgäu),47.72674,10.31389,Germany
Berlin,Berlin,52.52437,13.41053,Germany
Hildesheim,Hildesheim,52.15077,9.95112,Germany
Ghent,Ghent,51.05,3.71667,Belgium
[Bologna],Bologna,44.49381,11.33875,Italy
[N,New York,40.71427,-74.00597,United States
A],Madrid,40.4165,-3.70256,Spain
[Turku],Turku,60.45148,22.26869,Finland
Caen,Caen,49.18585,-0.35912,France
Halle,Halle,51.48158,11.97947,Germany
Delft,Delft,52.00667,4.35556,The Netherlands
None,None,44.93645,7.54015,Italy
Modena,Modena,44.64783,10.92539,Italy
Erfurt,Erfurt,50.9787,11.03283,Germany
Lemgo,Lemgo,52.02786,8.89901,Germany
Cambridge,Cambridge,42.3751,-71.10561,United States
Büdingen,Büdingen,50.29013,9.1114,Germany
Luzern,Lucerne,47.05048,8.30635,Switzerland
Gera,Gera,50.88029,12.08187,Germany
Lund,Lund,55.70584,13.19321,Sweden
Saint Petersburg,St Petersburg,59.93863,30.31413,Russia
Nordhausen,Nordhausen,51.5018,10.7957,Germany
York,New York,40.71427,-74.00597,United States
Göttingen,Göttingen,51.53443,9.93228,Germany
Stockholm,Stockholm,59.32938,18.06871,Sweden
Lausanne,Lausanne,46.516,6.63282,Switzerland
Geneva,Geneva,46.20222,6.14569,Switzerland
Wolfenbüttel,Wolfenbüttel,52.16442,10.54095,Germany
St. Petersburg,St Petersburg,59.93863,30.31413,Russia
Erlangen,Erlangen,49.59099,11.00783,Germany
Franeker,Franeker,53.18546,5.54123,The Netherlands
Rostock,Rostock,54.0887,12.14049,Germany
Warsaw,Warsaw,52.22977,21.01178,Poland
Zittau,Zittau,50.89772,14.80764,Germany
Graz,Graz,47.06667,15.45,Austria
Turku,Turku,60.45148,22.26869,Finland
Mannheim,Mannheim,49.4891,8.46694,Germany
Parma,Parma,44.79935,10.32618,Italy
Komorn,Komárno,47.76356,18.12263,Slovakia
Rimini,Rimini,44.05755,12.56528,Italy
Philadelphia,Philadelphia,39.95238,-75.16362,United States
Edinbourgh,,,,
