raw_place,geoname_name,latitude,longitude,country
[Turku],Turku,60.45148,22.26869,Finland
"Liegnitz, Wrocław",,,,
Salamanca,Salamanca,40.96882,-5.66388,Spain
Heidelberg,Heidelberg,49.40768,8.69079,Germany
London,London,51.50853,-0.12574,United Kingdom
Oxford,Oxford,39.507,-84.74523,United States
Lund,Lund,55.70584,13.19321,Sweden
Strasbourg,Strasbourg,48.58392,7.74553,France
Basel,Basel,47.55839,7.57327,Switzerland
Bologna,Bologna,44.49381,11.33875,Italy
Leipzig,Leipzig,51.33962,12.37129,Germany
Zurich,Zurich,47.36667,8.55,Switzerland
Venice,Venice,45.43713,12.33265,Italy
Rome,Rome,41.89193,12.51133,Italy
Herborn,Herborn,49.74167,6.42778,Luxembourg
Frankfurt am Main,Frankfurt am Main,50.11552,8.68417,Germany
Turin,Turin,45.07049,7.68682,Italy
Florence,Florence,43.77925,11.24626,Italy
Alcalá de Henares,Alcalá de Henares,40.48205,-3.35996,Spain
Leiden,Leiden,52.15833,4.49306,The Netherlands
Innsbruck,Innsbruck,47.26266,11.39454,Austria
"London, Westminster Abbey",Westminster Abbey,51.49905,-0.12885,United Kingdom
Paris,Paris,48.85341,2.3488,France
Cambridge,Cambridge,42.3751,-71.10561,United States
[Landshut],Landshut,48.52961,12.16179,Germany
[Ingolstadt],Ingolstadt,48.76508,11.42372,Germany
Milan,Milan,45.46427,9.18951,Italy
Bergamo,Bergamo,45.69601,9.66721,Italy
Stuttgart,Stuttgart,48.78232,9.17702,Germany
Perugia,Perugia,43.1122,12.38878,Italy
Lyon,Lyon,45.74846,4.84671,France
s.l.,The Hague,52.07667,4.29861,The Netherlands
Amsterdam,Amsterdam,52.37403,4.88969,The Netherlands
[Wittenberg],Wittenberg,51.8661,12.64973,Germany
Copenhagen,Copenhagen,55.67594,12.56553,Denmark
Padua,Padua,45.40797,11.88586,Italy
[Padua],Padua,45.40797,11.88586,Italy
Rimini,Rimini,44.05755,12.56528,Italy
Büdingen,Büdingen,50.29013,9.1114,Germany
Königsberg,Kaliningrad,54.70649,20.51095,Russia
Uppsala,Uppsala,59.85882,17.63889,Sweden
"Stockholm, Uppsala, Turku",,,,
"Leipzig, Desau",,,,
Würzburg,Würzburg,49.79391,9.95121,Germany
Saint Petersburg,St Petersburg,59.93863,30.31413,Russia
Antwerp,Antwerp,51.22047,4.40026,Belgium
Graz,Graz,47.06667,15.45,Austria
Aachen,Aachen,50.77664,6.08342,Germany
Göttingen,Göttingen,51.53443,9.93228,Germany
Târgu Mureș,Târgu Mureş,46.54245,24.55747,Romania
Hanau,Hanau,50.13423,8.91418,Germany
The Hague,The Hague,52.07667,4.29861,The Netherlands
Reggio di Calabria,Reggio Calabria,38.11047,15.66129,Italy
[Strasbourg],Strasbourg,48.58392,7.74553,France
Rotterdam,Rotterdam,51.9225,4.47917,The Netherlands
Vienna,Vienna,48.20849,16.37208,Austria
Hamburg,Hamburg,53.55073,9.99302,Germany
Uraniborg,Uranienborg,55.9,12.7,Sweden
Augsburg,Augsburg,48.37154,10.89851,Germany
Wittenberg,Wittenberg,51.8661,12.64973,Germany
[Cracow],Krakow,50.06143,19.93658,Poland
Caen,Caen,49.18585,-0.35912,France
Berlin,Berlin,52.52437,13.41053,Germany
Ferrara,Ferrara,44.83804,11.62057,Italy
"Caen, Paris",Alliance Hotel Paris Porte de St Ouen,49.17504,-0.38473,France
Tübingen,Tübingen,48.52266,9.05222,Germany
Nuremberg,Nuremberg,49.45421,11.07752,Germany
Luzern,Lucerne,47.05048,8.30635,Switzerland
Messina,Messina,38.19394,15.55256,Italy
Stockholm,Stockholm,59.32938,18.06871,Sweden
Treviso,Treviso,45.66673,12.2416,Italy
Naples,Naples,40.85216,14.26811,Italy
Helmstedt,Helmstedt,52.2279,11.00985,Germany
Cologne,Cologne,50.93333,6.95,Germany
Palermo,Palermo,38.1166,13.3636,Italy
Gdańsk,Gdansk,54.35227,18.64912,Poland
"Pitschen [Byczyna], Oels [Oleśnica]",,,,
Munich,Munich,48.13743,11.57549,Germany
"Leipzig, Wolfenbüttel",,,,
Vico Equense,Vico Equense,40.65977,14.43386,Italy
Rostock,Rostock,54.0887,12.14049,Germany
Beuthen (Bytom),Bytom,50.34802,18.93282,Poland
[Hamburg],Hamburg,53.55073,9.99302,Germany
"Lyon, Zurich",,,,
Lübeck,Lübeck,53.86893,10.68729,Germany
Leuven,Leuven,50.87959,4.70093,Belgium
[Geneva],Geneva,46.20222,6.14569,Switzerland
Lausanne,Lausanne,46.516,6.63282,Switzerland
Breslau,Wroclaw,51.1,17.03333,Poland
Bratislava,Bratislava,48.14816,17.10674,Slovakia
Toulouse,Toulouse,43.60426,1.44367,France
Altdorf,Altdorf,46.88042,8.64441,Switzerland
York,New York,40.71427,-74.00597,United States
Verona,Verona,45.43854,10.9938,Italy
[Venice],Venice,45.43713,12.33265,Italy
Weimar,Weimar,50.9803,11.32903,Germany
Hagenau,Haguenau,48.81557,7.79051,France
Ulm,Ulm,48.39841,9.99155,Germany
nan,,,,
"Duisburg, Düsseldorf",Duisburg,51.43247,6.76516,Germany
St. Petersburg,St Petersburg,59.93863,30.31413,Russia
Utrecht,Utrecht,52.09083,5.12222,The Netherlands
Kiel,Kiel,54.32133,10.13489,Germany
Gent,Ghent,51.05,3.71667,Belgium
"Bratislava, Komorn",,,,
Bern,Bern,46.94809,7.44744,Switzerland
Danzig,Gdansk,54.35227,18.64912,Poland
Zittau,Zittau,50.89772,14.80764,Germany
Mannheim,Mannheim,49.4891,8.46694,Germany
Udine,Udine,46.0693,13.23715,Italy
Edinburgh,Edinburgh,55.95206,-3.19648,United Kingdom
Halle,Halle,51.48158,11.97947,Germany
Halle (Saale),Halle,51.48158,11.97947,Germany
Kraków,Krakow,50.06143,19.93658,Poland
"Nuremberg, Frankfurt am Main, Leipzig",,,,
Den Haag,The Hague,52.07667,4.29861,The Netherlands
Erfurt,Erfurt,50.9787,11.03283,Germany
"Vienna, London, Leiden",,,,
Prague,Prague,50.08804,14.42076,Czechia
Aberdeen,Aberdeen,22.24802,114.15289,Hong Kong
Lemgo,Lemgo,52.02786,8.89901,Germany
Linz,Linz,48.30639,14.28611,Austria
"Żagań, Frankfurt am Main",,,,
Marburg,Marburg,50.80904,8.77069,Germany
"Linz, Frankfurt am Main",,,,
Kempten (Allgäu),Kempten (Allgäu),47.72674,10.31389,Germany
not indicated,,,,
Franeker,Franeker,53.18546,5.54123,The Netherlands
Modena,Modena,44.64783,10.92539,Italy
Middelburg,Middelburg,51.5,3.61389,The Netherlands
Delft,Delft,52.00667,4.35556,The Netherlands
Nordhausen,Nordhausen,51.5018,10.7957,Germany
Vicenza,Vicenza,45.54672,11.5475,Italy
"Leiden, Stockholm, Erlangen",,,,
Hildesheim,Hildesheim,52.15077,9.95112,Germany
Frankfurt an der Oder,Frankfurt,52.34714,14.55062,Germany
Parma,Parma,44.79935,10.32618,Italy
"Venice, Bologna",Best Western Hotel Bologna,45.4827,12.2321,Italy
Oppenheim,Oppenheim,49.8547,8.35974,Germany
Jena,Jena,50.92878,11.5899,Germany
La Rochelle,La Rochelle,46.16308,-1.15222,France
1570,Tollembeek,50.74096,4.00666,Belgium
Warsaw,Warsaw,52.22977,21.01178,Poland
Brussels,Brussels,50.85045,4.34878,Belgium
"Leipzig, Copenhagen",,,,
"Lausanne, Geneva",Novotel Lausanne Bussigny,46.19759,6.15735,Switzerland
Pesaro,Pesaro,43.90921,12.9164,Italy
Arnhem,Arnhem,51.98,5.91111,The Netherlands
[Nuremberg],Nuremberg,49.45421,11.07752,Germany
Philadelphia (fictive),,,,
"Leiden, Amsterdam",,,,
"Augsburg, Innsbruck",,,,
Gera,Gera,50.88029,12.08187,Germany
Venice [Modena],,,,
Neostadii in Palatinate (Neustadt an der Weinstraße),,,,
"Frankfurt am Main, Leipzig",,,,
[Leipzig],Leipzig,51.33962,12.37129,Germany
Grenoble,Grenoble,45.17869,5.71479,France
Ingolstadt,Ingolstadt,48.76508,11.42372,Germany
Bracciano,Bracciano,42.10271,12.16565,Italy
"Augsburg, Ulm",,,,
Beromünster,Beromünster,47.20612,8.19265,Switzerland
Groningen,Groningen,53.21917,6.56667,The Netherlands
Gouda,Gouda,52.01667,4.70833,The Netherlands
Helsinki,Helsinki,60.16952,24.93545,Finland
Legnica,Legnica,51.21006,16.1619,Poland
Baltimore,Baltimore,39.29038,-76.61219,United States
Haarlem,Haarlem,52.38084,4.63683,The Netherlands
[Leiden],Leiden,52.15833,4.49306,The Netherlands
Ghent,Ghent,51.05,3.71667,Belgium
"Paris, Philadelphia, Edinburgh",,,,
Tours,Tours,47.39484,0.70398,France
Güstrow,Güstrow,53.7972,12.17337,Germany
Olomouc,Olomouc,49.59552,17.25175,Czechia
